"","date","country","continent","value"
"132",2020-06-01,"Afghanistan","Asia",15750
"133",2020-06-02,"Afghanistan","Asia",16509
"134",2020-06-03,"Afghanistan","Asia",17267
"135",2020-06-04,"Afghanistan","Asia",18054
"136",2020-06-05,"Afghanistan","Asia",18969
"137",2020-06-06,"Afghanistan","Asia",19551
"138",2020-06-07,"Afghanistan","Asia",20342
"139",2020-06-08,"Afghanistan","Asia",20917
"140",2020-06-09,"Afghanistan","Asia",21459
"141",2020-06-10,"Afghanistan","Asia",22142
"142",2020-06-11,"Afghanistan","Asia",22890
"143",2020-06-12,"Afghanistan","Asia",23546
"144",2020-06-13,"Afghanistan","Asia",24102
"145",2020-06-14,"Afghanistan","Asia",24766
"146",2020-06-15,"Afghanistan","Asia",25527
"147",2020-06-16,"Afghanistan","Asia",26310
"148",2020-06-17,"Afghanistan","Asia",26874
"149",2020-06-18,"Afghanistan","Asia",27532
"150",2020-06-19,"Afghanistan","Asia",27878
"151",2020-06-20,"Afghanistan","Asia",28424
"152",2020-06-21,"Afghanistan","Asia",28833
"153",2020-06-22,"Afghanistan","Asia",29157
"154",2020-06-23,"Afghanistan","Asia",29481
"155",2020-06-24,"Afghanistan","Asia",29640
"156",2020-06-25,"Afghanistan","Asia",30175
"157",2020-06-26,"Afghanistan","Asia",30451
"158",2020-06-27,"Afghanistan","Asia",30616
"159",2020-06-28,"Afghanistan","Asia",30967
"160",2020-06-29,"Afghanistan","Asia",31238
"161",2020-06-30,"Afghanistan","Asia",31517
"162",2020-07-01,"Afghanistan","Asia",31836
"163",2020-07-02,"Afghanistan","Asia",32022
"164",2020-07-03,"Afghanistan","Asia",32324
"165",2020-07-04,"Afghanistan","Asia",32672
"166",2020-07-05,"Afghanistan","Asia",32951
"167",2020-07-06,"Afghanistan","Asia",33190
"168",2020-07-07,"Afghanistan","Asia",33384
"169",2020-07-08,"Afghanistan","Asia",33594
"170",2020-07-09,"Afghanistan","Asia",33908
"171",2020-07-10,"Afghanistan","Asia",34194
"172",2020-07-11,"Afghanistan","Asia",34366
"173",2020-07-12,"Afghanistan","Asia",34451
"174",2020-07-13,"Afghanistan","Asia",34455
"175",2020-07-14,"Afghanistan","Asia",34740
"176",2020-07-15,"Afghanistan","Asia",34994
"177",2020-07-16,"Afghanistan","Asia",35070
"178",2020-07-17,"Afghanistan","Asia",35229
"179",2020-07-18,"Afghanistan","Asia",35301
"180",2020-07-19,"Afghanistan","Asia",35475
"181",2020-07-20,"Afghanistan","Asia",35526
"182",2020-07-21,"Afghanistan","Asia",35615
"183",2020-07-22,"Afghanistan","Asia",35727
"184",2020-07-23,"Afghanistan","Asia",35928
"185",2020-07-24,"Afghanistan","Asia",35981
"186",2020-07-25,"Afghanistan","Asia",36036
"187",2020-07-26,"Afghanistan","Asia",36157
"188",2020-07-27,"Afghanistan","Asia",36263
"189",2020-07-28,"Afghanistan","Asia",36368
"190",2020-07-29,"Afghanistan","Asia",36471
"191",2020-07-30,"Afghanistan","Asia",36542
"192",2020-07-31,"Afghanistan","Asia",36675
"193",2020-08-01,"Afghanistan","Asia",36710
