id,nom_bureau,categorie,Code_postal,ville,Code_INSEE,lat,lng,latlong
03942A,BENEVENT L ABBAYE BP,Bureau de Poste,23210,BENEVENT L ABBAYE,23021,46.118991,1.627162,46.118991
00794A,NICE MARTIN LUTHER KING BP,Bureau de Poste,6200,NICE,6088,43.6756,7.2063,43.6756
03946A,BORD SAINT GEORGES AP,Agence postale communale,23230,BORD ST GEORGES,23026,46.261048,2.298369,46.261048
00797A,COARAZE AP,Agence postale communale,6390,COARAZE,6043,43.86423,7.294487,43.86423
03957A,CHAMBON SUR VOUEIZE BP,Bureau de Poste,23170,CHAMBON SUR VOUEIZE,23045,46.188757,2.425229,46.188757
00800A,CONTES BP,Bureau de Poste,6390,CONTES,6048,43.810877,7.313786,43.810877
03960A,LA CHAPELLE TAILLEFERT AP,Agence postale communale,23000,LA CHAPELLE TAILLEFERT,23052,46.099967,1.838356,46.099967
00824A,MOUANS SARTOUX,Bureau de Poste,6370,MOUANS SARTOUX,6084,43.619893,6.971363,43.619893
03963A,CHENERAILLES BP,Bureau de Poste,23130,CHENERAILLES,23061,46.112321,2.178052,46.112321
00826A,MOULINET AP,Agence postale communale,6380,MOULINET,6086,43.941154,7.413303,43.941154
03966A,LA COURTINE BP,Bureau de Poste,23100,LA COURTINE,23067,45.700441,2.261043,45.700441
00827A,NICE THIERS,Bureau de Poste,6000,NICE,6088,43.703499,7.260807,43.703499
03975A,FAUX LA MONTAGNE AP,Agence postale communale,23340,FAUX LA MONTAGNE,23077,45.749998,1.934289,45.749998
00839A,ROQUEFORT LES PINS,Bureau de Poste,6330,ROQUEFORT LES PINS,6105,43.667196,7.047499,43.667196
03976A,FELLETIN BP,Bureau de Poste,23500,FELLETIN,23079,45.885077,2.172515,45.885077
00857A,SAINT SAUVEUR SUR TINEE BP,Bureau de Poste,6420,ST SAUVEUR SUR TINEE,6129,44.08337362,7.104638708,44.08337362
03979A,FONTANIERES AP,Agence postale communale,23110,FONTANIERES,23083,46.106145,2.499626,46.106145
00862A,SPERACEDES AP,Agence postale communale,6530,SPERACEDES,6137,43.64813,6.857741,43.64813
03981A,FRESSELINES BP,Bureau de Poste,23450,FRESSELINES,23087,46.382859,1.68455,46.382859
00866A,LA TOUR AP,Agence postale communale,6420,LA TOUR,6144,43.946562,7.183643,43.946562
03982A,GENOUILLAC BP,Bureau de Poste,23350,GENOUILLAC,23089,46.352974,1.99231,46.352974
00869A,LA TRINITE,Bureau de Poste,6340,LA TRINITE,6149,43.743,7.312849,43.743
03985A,LE GRAND BOURG BP,Bureau de Poste,23240,LE GRAND BOURG,23095,46.160417,1.644906,46.160417
00872A,VALBONNE PRINCIPAL BP,Bureau de Poste,6560,VALBONNE,6152,43.623297,7.04696,43.623297
03998A,MAGNAT L ETRANGE LPA AP,Agence postale communale,23260,MAGNAT L ETRANGE,23115,45.7932,2.2786,45.7932
00873A,VALDEBLORE APC AP,Agence postale communale,6420,VALDEBLORE,6153,44.073121,7.167143,44.073121
04002A,MAUTES RP,Relais poste commer??ant,23190,MAUTES,23127,45.943695,2.384549,45.943695
00900A,ST ETIENNE DE TINEE AURON AP,Agence postale communale,6660,ST ETIENNE DE TINEE,6120,44.224908,6.932401,44.224908
04006A,LE MONTEIL AU VICOMTE AP,Agence postale communale,23460,LE MONTEIL AU VICOMTE,23134,45.930296,1.936638,45.930296
00907A,CANNES RANGUIN BP,Bureau de Poste,6150,CANNES,6029,43.567814,6.966615,43.567814
04019A,PIONNAT AP,Agence postale communale,23140,PIONNAT,23154,46.170942,2.025329,46.170942
00910A,CARROS VILLAGE AP,Agence postale communale,6510,CARROS,6033,43.791394,7.18529,43.791394
04020A,PONTARION BP,Bureau de Poste,23250,PONTARION,23155,45.997412,1.849268,45.997412
00912A,NICE SAINTE MARGUERITE BP,Bureau de Poste,6200,NICE,6088,43.678088,7.220194,43.678088
04022A,ROYERE DE VASSIVIERE BP,Bureau de Poste,23460,ROYERE DE VASSIVIERE,23165,45.841711,1.914397,45.841711
00914A,GRASSE ST JACQUES BP,Bureau de Poste,6130,GRASSE,6069,43.639698,6.912659,43.639698
04023A,SANNAT AP,Agence postale communale,23110,SANNAT,23167,46.119843,2.407239,46.119843
00921A,NICE LYMPIA BP,Bureau de Poste,6300,NICE,6088,43.697595,7.28382,43.697595
